Theta1,Theta2
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
1.44668,2.63809
1.68341,2.63613
1.44558,2.63613
1.68319,2.63396
1.44443,2.63396
1.683,2.6316
1.44321,2.6316
1.68282,2.62905
1.44194,2.62905
1.68267,2.6263
1.44061,2.6263
1.68254,2.62337
1.43921,2.62337
1.68242,2.62025
1.43775,2.62025
1.68232,2.61694
1.43624,2.61694
1.68222,2.61346
1.43465,2.61346
1.68214,2.6098
1.43301,2.6098
1.68206,2.60597
1.4313,2.60597
1.68199,2.60196
1.42952,2.60196
1.68192,2.5978
1.42768,2.5978
1.68184,2.59346
1.42577,2.59346
1.68177,2.58897
1.4238,2.58897
1.68169,2.58432
1.42176,2.58432
1.68159,2.57952
1.41965,2.57952
1.68149,2.57456
1.41747,2.57456
1.68138,2.56946
1.41523,2.56946
1.68124,2.56422
1.41291,2.56422
1.68109,2.55884
1.41052,2.55884
1.68092,2.55332
1.40807,2.55332
1.68072,2.54767
1.40554,2.54767
1.6805,2.54188
1.40294,2.54188
1.68025,2.53597
1.40027,2.53597
1.67997,2.52994
1.39752,2.52994
1.67965,2.52378
1.3947,2.52378
1.6793,2.51751
1.3918,2.51751
1.67891,2.51112
1.38883,2.51112
1.67848,2.50462
1.38579,2.50462
1.67801,2.49801
1.38266,2.49801
1.67749,2.49129
1.37946,2.49129
1.67692,2.48446
1.37618,2.48446
1.6763,2.47754
1.37282,2.47754
1.67563,2.47051
1.36938,2.47051
1.6749,2.46339
1.36586,2.46339
1.67412,2.45617
1.36226,2.45617
1.67328,2.44885
1.35857,2.44885
1.67237,2.44145
1.3548,2.44145
1.6714,2.43396
1.35095,2.43396
1.67036,2.42637
1.347,2.42637
1.66926,2.41871
1.34298,2.41871
1.66808,2.41096
1.33886,2.41096
1.66683,2.40312
1.33465,2.40312
1.66551,2.39521
1.33035,2.39521
1.66411,2.38722
1.32597,2.38722
1.66263,2.37915
1.32148,2.37915
1.66106,2.371
1.31691,2.371
1.65942,2.36278
1.31224,2.36278
1.65768,2.35449
1.30747,2.35449
1.65586,2.34612
1.3026,2.34612
1.65395,2.33769
1.29763,2.33769
1.65195,2.32918
1.29257,2.32918
1.64985,2.32061
1.28739,2.32061
1.64765,2.31196
1.28212,2.31196
1.64536,2.30326
1.27674,2.30326
1.64296,2.29448
1.27125,2.29448
1.64047,2.28564
1.26565,2.28564
1.63787,2.27674
1.25994,2.27674
1.63516,2.26777
1.25412,2.26777
1.63234,2.25874
1.24819,2.25874
1.62942,2.24965
1.24213,2.24965
1.62638,2.2405
1.23596,2.2405
1.62322,2.23128
1.22967,2.23128
1.61995,2.22201
1.22326,2.22201
1.61656,2.21267
1.21672,2.21267
1.61305,2.20328
1.21005,2.20328
1.60942,2.19383
1.20326,2.19383
1.60566,2.18432
1.19633,2.18432
1.60178,2.17475
1.18927,2.17475
1.59777,2.16512
1.18207,2.16512
1.59363,2.15544
1.17473,2.15544
1.58935,2.1457
1.16725,2.1457
1.58494,2.1359
1.15963,2.1359
1.58039,2.12604
1.15186,2.12604
1.57571,2.11613
1.14393,2.11613
1.57088,2.10616
1.13586,2.10616
1.56591,2.09613
1.12762,2.09613
1.5608,2.08604
1.11922,2.08604
1.55554,2.0759
1.11066,2.0759
1.55013,2.0657
1.10193,2.0657
1.54456,2.05545
1.09303,2.05545
1.53885,2.04513
1.08394,2.04513
1.53297,2.03476
1.07468,2.03476
1.52694,2.02434
1.06523,2.02434
1.52075,2.01385
1.05559,2.01385
1.5144,2.00331
1.04576,2.00331
1.50788,1.9927
1.03572,1.9927
1.50119,1.98204
1.02547,1.98204
1.49433,1.97132
1.01501,1.97132
1.4873,1.96054
1.00433,1.96054
1.48009,1.9497
0.993425,1.9497
1.47271,1.9388
0.982284,1.9388
1.46514,1.92783
0.9709,1.92783
1.45739,1.91681
0.959266,1.91681
1.44945,1.90572
0.947372,1.90572
1.44132,1.89457
0.935209,1.89457
1.433,1.88336
0.922767,1.88336
1.42448,1.87208
0.910034,1.87208
1.41577,1.86074
0.896999,1.86074
