X,Y,U,V
22.5313,-1.78111,-3.73726,-0.433647
22.5687,-1.77678,-3.73332,-0.433613
22.6059,-1.77244,-3.7295,-0.433354
22.6432,-1.76812,-3.72581,-0.432879
22.6804,-1.76379,-3.72225,-0.432199
22.7176,-1.75948,-3.71883,-0.431321
22.7548,-1.75518,-3.71554,-0.430256
22.7919,-1.75089,-3.7124,-0.429013
22.829,-1.74661,-3.7094,-0.427601
22.8661,-1.74235,-3.70655,-0.426031
22.9031,-1.73811,-3.70384,-0.424312
22.9401,-1.73388,-3.70129,-0.422455
22.9771,-1.72968,-3.69889,-0.42047
23.0141,-1.7255,-3.69665,-0.418367
23.051,-1.72133,-3.69457,-0.416158
23.0879,-1.7172,-3.69265,-0.413853
